"matchNo","team","batsman","dismissal","runs","balls","minutes","fours","sixes","strikeRate"
"22","Chennai Super Kings","D Brevis","c Arora b Kartik Tyagi","41","29","61","4","2","141.37"
"22","Chennai Super Kings","SN Khan","b Narine","23","18","29","1","2","127.77"
"22","Chennai Super Kings","S Dube","not out","13","12","23","1","0","108.33"
"22","Chennai Super Kings","J Overton","not out","7","6","16","1","0","116.66"
"22","Kolkata Knight Riders","FH Allen","c Dube b Kamboj","1","3","9","0","0","33.33"
"22","Kolkata Knight Riders","SP Narine","c Gurjapneet Singh b Ahmed","24","17","23","2","2","141.17"
"22","Kolkata Knight Riders","AM Rahane (c)","c Gaikwad b Noor Ahmad","28","22","48","0","2","127.27"
"22","Kolkata Knight Riders","A Raghuvanshi †","c Brevis b Hosein","27","19","27","3","1","142.1"
"22","Kolkata Knight Riders","RK Singh","c Dube b Noor Ahmad","6","12","15","0","0","50"
"22","Kolkata Knight Riders","C Green","b Noor Ahmad","0","1","1","0","0","0"
"22","Kolkata Knight Riders","R Powell","not out","31","22","54","1","2","140.9"
"22","Kolkata Knight Riders","Ramandeep Singh","c Khan b Kamboj","35","23","42","4","1","152.17"
"22","Kolkata Knight Riders","AS Roy","not out","1","1","3","0","0","100"
"23","Lucknow Super Giants","MR Marsh","b Pandya","40","32","55","3","2","125"
"23","Lucknow Super Giants","AK Markram","c Padikkal b Rasikh Salam","12","8","18","0","1","150"
